Star Name,Star Mass [Ms],Star Temperature [K],Star Radius [Rs],Star Distance [pc],Star log(g),Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star T Mag,Star Metallicity,Star RA,Star Dec,Planet Name,Planet Radius [Re],Planet Radius [Rj],Planet Mass [Me],Planet Mass [Mj],Planet Period [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,FGS1_Flag,FGS2_Flag,FGS_Flag,Tier 1 Transits,Tier 1 Eclipses,Tier 2 Transits,Tier 2 Eclipses,Tier 3 Transits,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,Max Tier
1106.01,0.7689333333333334,5042.0,4.93786,523.425,4.5,8.676,9.203,8.601,10.951,8.52,8.573,8.495,10.0717,0,253.110033,-79.135182,1106.01,14.7645,1.3172027282772898,237.88654331552075,0.7484747693395966,11.1149,1748.599620240135,13358562598.637531,0.3,2.3,8135.999999999999,0.5,1,0,0,0,57.0,7.0,629.0,51.0,1258.0,104.0,Eclipse,7.0,51.0,104.0,1
1102.01,0.62884,4006.0,0.705027,58.0624,4.541,8.716,9.414,8.558,11.976,8.469,8.542,8.419,10.5652,0,263.003209,-76.858265,1102.01,2.75375,0.2456735421445756,8.06188110186753,0.0253655146443496,6.63371,686.5821945910909,8855454073.69774,0.1,2.3,7639.2,0.5,1,0,0,0,4.0,277.0,42.0,1657.0,84.0,3001.0,Transit,4.0,42.0,84.0,1
1108.01,1.9808,8152.0,1.96177,417.08,4.15162,9.536,9.639,9.507,10.062,9.373,9.388,9.334,9.941,0,274.221618,-68.197779,1108.01,22.1531,1.9763706024450285,1087.3025211991858,3.421036315944591,7.14386,1763.6209640373943,13638354030.26292,0.3,2.3,5281.200000000001,0.5,1,0,0,0,6.0,1.0,89.0,3.0,180.0,7.0,Eclipse,1.0,3.0,7.0,2
1111.01,1.6248,7262.0,2.12948,312.461,3.99636,8.953,9.055,8.892,9.71,8.825,8.847,8.808,9.3871,0,291.373783,-60.941042,1111.01,19.5843,1.747197222486432,791.9854429993159,2.4918648760346067,11.46597,1444.9657793695792,17501165227.597282,0.3,2.3,6112.8,0.5,1,0,0,0,8.0,1.0,99.0,7.0,200.0,13.0,Eclipse,1.0,7.0,13.0,2
1107.01,1.337875,6501.0,1.74836,281.314,4.07666,9.322,9.545,9.205,10.553,9.156,9.18,9.158,10.0068,0,155.607863,-82.218869,1107.01,13.8483556,1.2354696588759582,134.94154467383504,0.4245735808188014,4.078221,1708.7198912563938,8234656314.832472,0.3,2.3,17422.4898,0.5,1,0,0,0,1.0,1.0,4.0,2.0,8.0,4.0,Eclipse,1.0,2.0,4.0,2
1110.01,1.37875,6610.0,1.6444,243.838,4.14593,9.099,9.248,9.036,10.136,8.987,9.018,8.963,9.6789,0,286.791829,-58.697242,1110.01,10.9489,0.9767971114250548,83.46752932953244,0.2626182166151631,2.45466,1985.616063077892,5929469866.236293,0.3,2.3,8391.6,0.5,1,0,0,0,1.0,1.0,6.0,4.0,12.0,7.0,Eclipse,1.0,4.0,7.0,2
1112.01,1.457125,6819.0,2.20928,292.085,3.91688,8.83,9.003,8.739,9.908,8.702,8.718,8.647,9.5162,0,163.628917,-87.269735,1112.01,4.92567,0.4394395992138981,21.62794898157466,0.0680491376252491,2.78186,2256.4184014563107,6565214356.221737,0.3,2.3,8841.6,0.5,1,0,0,0,8.0,18.0,91.0,139.0,180.0,275.0,Transit,8.0,91.0,180.0,1
1117.01,0.9448,5731.0,1.02422,167.598,4.42588,9.474,9.77,9.385,11.016,9.364,9.409,9.336,10.4055,0,273.602061,-66.419974,1117.01,2.56778,0.2290823814972304,7.224700014051577,0.0227314483669334,2.2281625,1494.478093920481,4900845326.422198,0.3,2.3,7254.0,0.5,1,0,0,0,9.0,87.0,118.0,720.0,237.0,1412.0,Transit,9.0,118.0,237.0,1
1116.01,0.86826,5501.0,0.906282,94.4178,4.50581,8.554,8.918,8.467,10.24,8.436,8.481,8.431,9.5268,0,27.699972,-75.848774,1116.01,2.1930769,0.195653552507833,5.525767818710159,0.0173860098847525,5.00999,1044.6100269836393,8177758819.059202,0.3,2.3,6128.70156,0.5,1,0,0,0,10.0,299.0,113.0,2084.0,224.0,4102.0,Transit,10.0,113.0,224.0,1
1113.01,0.4675999999999999,3469.0,0.53475,23.8853,4.70713,7.641,8.192,7.325,12.49,7.377215301088899,7.204313762033543,6.967424784726664,9.66865,0,328.710839,-77.337433,1113.01,4.90147,0.4372806161108935,21.436417775691176,0.0674465130583149,6.44049,549.3914293731596,7866180393.039186,0.1,2.3,6674.400000000001,0.5,1,0,0,0,1.0,23.0,2.0,110.0,4.0,198.0,Transit,1.0,2.0,4.0,2
1119.01,1.321,6456.0,2.06848,421.518,3.92404,9.777,10.006,9.703,10.937,9.659,9.676,9.607,10.5024,0,292.604815,-46.278074,1119.01,23.9726,2.1386957989705144,1296.4777873875476,4.079175304934087,10.95663,1330.498849105527,15846939404.7984,0.3,2.3,12916.8,0.5,1,0,0,0,7.0,1.0,93.0,3.0,184.0,6.0,Eclipse,1.0,3.0,6.0,2
1122.01,1.248125,6317.0,1.38498,249.826,4.5,9.544,9.788,9.527,10.811,9.436,9.461,9.432,10.2934,0,281.369481,-52.262928,1122.01,4.22803,0.3772002202064567,16.88169429151952,0.0531157503270268,3.62654,1554.629520721361,7440591632.643208,0.3,2.3,11872.8,0.5,1,0,0,0,6.0,30.0,67.0,227.0,133.0,460.0,Transit,6.0,67.0,133.0,1
1126.01,0.7777026666666668,5107.77,0.73404,97.8115,4.64113,9.17,9.655,9.07,11.002,8.999,9.057,9.009,10.3579,0,279.062469,-43.620606,1126.01,2.62267,0.2339793477172271,7.468256280416477,0.0234977620799663,1.62652,1293.611642913256,3723664936.793129,0.3,2.3,12078.0,0.5,1,0,0,0,2.0,16.0,18.0,119.0,36.0,235.0,Transit,2.0,18.0,36.0,2
1123.01,0.86046,5471.0,1.24212,161.932,4.23201,9.036,9.412,8.921,11.154,8.843,8.849,8.791,10.2398,0,292.391505,-37.304009,1123.01,15.1764,1.3539500481172717,285.23982286648857,0.8974648487926182,1.20928,1956.3769667286688,3160733913.687293,0.3,2.3,6789.599999999999,0.5,1,0,0,0,1.0,1.0,4.0,1.0,8.0,1.0,Eclipse,1.0,1.0,1.0,3
1132.01,1.872,7880.0,1.86011,286.668,4.17361,8.964,8.973,8.894,9.38,8.803,8.809,8.838,9.2293,0,298.781281,54.781445,1132.01,3.48188,0.310633061433447,12.152084576455213,0.0382347339769182,1.55058,2788.354268228936,4833828012.946385,0.3,2.3,10641.6,0.5,1,0,0,0,6.0,28.0,66.0,216.0,132.0,425.0,Transit,6.0,66.0,132.0,1
1128.01,1.180625,6209.0,1.63378,222.529,4.08723,8.942,9.195,8.871,10.27,8.807,8.834,8.803,9.7298,0,289.761799,-43.074223,1128.01,6.24633,0.5572611952805909,32.37675067233395,0.1018686498769251,13.5499,1079.4997389877549,17586841351.40164,0.3,2.3,6462.0,0.5,1,0,0,0,8.0,72.0,101.0,528.0,201.0,1079.0,Transit,8.0,101.0,201.0,1
