Star Name,Star Mass [Ms],Star Temperature [K],Star Radius [Rs],Star Distance [pc],Star log(g),Star H Mag,Star J Mag,Star K Mag,Star V Mag,Star W1 Mag,Star W2 Mag,Star W3 Mag,Star T Mag,Star Metallicity,Star RA,Star Dec,Planet Name,Planet Radius [Re],Planet Radius [Rj],Planet Mass [Me],Planet Mass [Mj],Planet Period [days],Planet Temperature [K],Planet Semi-major Axis [m],Planet Albedo,Molecular Weight,Transit Duration [s],Impact Parameter,Heat Redistribution Factor,FGS1_Flag,FGS2_Flag,FGS_Flag,Tier 1 Transits,Tier 1 Eclipses,Tier 2 Transits,Tier 2 Eclipses,Tier 3 Transits,Tier 3 Eclipses,Preferred Method,Tier 1 Observations,Tier 2 Observations,Tier 3 Observations,Max Tier
1123.01,0.86046,5471,1.24212,161.932,4.23201,9.036,9.412,8.921,11.154,8.843,8.849,8.791,10.2398,0,292.391505,-37.304009,1123.01,15.1764,1.353950048,285.2398229,0.897464849,1.20928,1956.376967,3160733914,0.3,2.3,6789.6,0.5,1,0,0,0,1,1,4,1,8,1,Eclipse,1,1,1,3
1128.01,1.180625,6209,1.63378,222.529,4.08723,8.942,9.195,8.871,10.27,8.807,8.834,8.803,9.7298,0,289.761799,-43.074223,1128.01,6.24633,0.557261195,32.37675067,0.10186865,13.5499,1079.499739,17586841351,0.3,2.3,6462,0.5,1,0,0,0,8,72,101,528,201,1079,Transit,8,101,201,1
1132.01,1.872,7880,1.86011,286.668,4.17361,8.964,8.973,8.894,9.38,8.803,8.809,8.838,9.2293,0,298.781281,54.781445,1132.01,3.48188,0.310633061,12.15208458,0.038234734,1.55058,2788.354268,4833828013,0.3,2.3,10641.6,0.5,1,0,0,0,6,28,66,216,132,425,Transit,6,66,132,1
1133.01,1.2025,6244,2.19683,233.369,3.83726,8.361,8.556,8.311,9.56,8.294,8.318,8.328,9.11458,0,294.824079,31.958037,1133.01,4.86242,0.433796802,21.12735606,0.066474096,1.80709,2456.339911,4618929613,0.3,2.3,11869.2,0.5,1,0,0,0,5,7,42,45,82,89,Transit,5,42,82,1
1135.01,1.125625,6121,1.15415,114.048,4.37613,8.265,8.458,8.192,9.54,8.144,8.151,8.127,9.02855,0,193.39637,85.129495,1135.01,9.46001,0.843967014,65.82562511,0.207110578,8.0277162,1073.475167,12210095046,0.3,2.3,17366.4,0.5,1,0,0,0,1,1,2,5,4,10,Transit,1,2,4,2
1136.01,0.9736,5767,0.977727,84.5362,4.47047,8.088,8.363,8.034,9.534,7.954,7.986,7.961,8.9361,0,192.184898,64.855276,1136.01,5.58857,0.498579678,26.87447941,0.084556568,12.5187279,822.3879057,15644443379,0.3,2.3,19368,0.5,1,0,0,0,1,17,5,70,9,132,Transit,1,5,9,2
1136.04,0.9736,5767,0.977727,84.5362,4.47047,8.088,8.363,8.034,9.534,7.954,7.986,7.961,8.9361,0,192.184898,64.855276,1136.04,2.5408067,0.226675981,7.105014894,0.022354877,18.8047556,718.0822919,20519421443,0.3,2.3,16528.58964,0.5,1,0,0,0,9,1175,58,5122,111,8877,Transit,9,58,111,1
1136.03,0.9736,5767,0.977727,84.5362,4.47047,8.088,8.363,8.034,9.534,7.954,7.986,7.961,8.9361,0,192.184898,64.855276,1136.03,2.71349,0.242081779,7.871240068,0.024765691,26.3179537,683.5949714,25673676319,0.1,2.3,15890.4,0.5,1,0,0,0,8,1380,55,6178,105,10585,Transit,8,55,105,1
1136.02,0.9736,5767,0.977727,84.5362,4.47047,8.088,8.363,8.034,9.534,7.954,7.986,7.961,8.9361,0,192.184898,64.855276,1136.02,2.49177,0.222301212,6.885805124,0.021665166,6.2587919,1036.1754,9854781292,0.3,2.3,10976.4,0.5,1,0,0,0,5,139,43,768,83,1416,Transit,5,43,83,1
1159.01,1.37207125,6592.19,2.08204,292.83,3.93781,8.916,9.092,8.877,10.074,8.855,8.88,8.83,9.5937,0,282.42081,48.098942,1159.01,5.28215,0.471242669,24.44931445,0.076926146,0.73774,3329.240349,2656160026,0.3,2.3,2289.6,0.5,1,0,0,0,8,10,122,90,244,179,Eclipse,10,90,179,1
1166.01,1.1025,6084,1.12685,153.743,4.39124,8.959,9.233,8.902,10.27,8.861,8.89,8.812,9.7604,0,293.764981,37.53859,1166.01,3.79016,0.338136008,14.10617435,0.044382988,1.88327,1715.364498,4612408024,0.3,2.3,8899.2,0.5,1,0,0,0,2,10,26,69,51,143,Transit,2,26,51,1
1158.01,0.747933333,4884.5,1.3,98.35708142,4.5,8.227,8.71,8.092,10.321,7.994,8.087,8.03,9.5967,0,293.427359,29.596296,1158.01,11.6113,1.035892583,91.96656388,0.28935917,2.92564,1362.518686,5436190666,0.3,2.3,14497.2,0.5,1,0,0,0,1,1,1,1,2,1,Eclipse,1,1,1,3
1170.01,1.8136,7734,3.50078,880.107,3.60981,9.955,10.006,9.909,10.461,9.9,9.915,9.882,10.349,0,300.805115,52.040842,1170.01,10.9073,0.973085802,82.94526698,0.260974995,0.91397,4501.464187,3362494559,0.3,2.3,7038,0.5,1,0,0,0,5,2,65,23,131,47,Eclipse,2,23,47,1
1171.01,1.74,7550,2.0466,482.763,4.05904,9.934,10.001,9.862,10.568,9.668,9.705,9.762,10.3075,0,299.273862,35.988359,1171.01,14.9183,1.330923869,255.5678601,0.804106413,11.18644,1468.056317,17613167906,0.3,2.3,11617.2,0.5,1,0,0,0,4,3,57,23,115,46,Eclipse,3,23,46,1
1168.01,1.1875,6220,1.49567,274.162,4.16722,9.577,9.822,9.517,11.018,9.466,9.496,9.375,10.381,0,301.710466,38.431023,1168.01,17.6596,1.575486694,570.7160641,1.795673553,2.136,1913.537791,5142076093,0.3,2.3,6264,0.5,1,0,0,0,2,1,26,1,51,2,Eclipse,1,1,2,3
1173.01,0.82172,5322,0.9554,132.353,4.44007,9.228,9.564,9.134,11.038,9.096,9.157,9.108,10.2938,0,197.683097,70.768012,1173.01,9.3403,0.833287185,64.45351629,0.202793441,7.0643995,933.8774357,10096044295,0.3,2.3,8715.6,0.5,1,0,0,0,1,3,5,19,10,36,Transit,1,5,10,2
1182.01,1.3362625,6496.7,2.33,380.8142723,4.5,9.235,9.558,9.234,10.377,9.201,9.236,9.157,10.0049,0,201.614657,65.306346,1182.01,18.5438,1.65436987,672.3663914,2.11550125,7.64245,1599.236627,12511579075,0.3,2.3,9662.4,0.5,1,0,0,0,9,1,111,4,219,9,Eclipse,1,4,9,2
1176.01,1.3795,6612,1.57435,295.561,4.18374,9.565,9.761,9.521,10.591,9.495,9.517,9.448,10.1772,0,247.35668,71.505873,1176.01,12.764,1.138729766,108.5195801,0.341440783,14.0077482,1087.448127,18938514608,0.3,2.3,20732.4,0.5,1,0,0,0,1,3,8,19,15,37,Transit,1,8,15,2
1180.01,0.723333333,4700,0.727165,72.0238,4.58986,8.716,9.237,8.594,11.017,8.535,8.605,8.518,10.112,0,214.555774,82.193764,1180.01,2.96379,0.264412088,9.181575121,0.028888466,9.686741,704.4544817,11942385307,0.1,2.3,8794.8,0.5,1,0,0,0,3,295,35,1768,70,3313,Transit,3,35,70,1
1174.01,0.7736,5077,0.75865,94.6375,4.6074,9.031,9.467,8.964,10.964,8.904,8.956,8.9,10.2549,0,209.217175,68.618211,1174.01,2.37092,0.211519678,6.341829496,0.019953627,8.9534549,740.9912067,11588459697,0.3,2.3,9752.4,0.5,1,0,0,0,8,857,89,5300,177,10446,Transit,8,89,177,1
